Stoch_Long_Max,SL_ATR_Mult,PF,DD%,Trades,NetProfit
5,1.25,0.7670001322164482,14.385296892674718,1281,-14.071114355077588
5,1.0,0.7665951983099016,14.410522634463085,1281,-14.096432668436742
5,1.75,0.7629106817351586,14.68769856293892,1280,-14.374625756739853
5,1.5,0.7628962729089468,14.672374792341387,1281,-14.359245752096395
5,2.25,0.7626692876626827,14.74212869793081,1277,-14.450163511453514
5,2.0,0.755942567387753,15.178365761432433,1279,-14.887894466764203
5,2.5,0.753716755292117,15.454000195244516,1272,-15.103787123701245
15,1.25,0.7385012946373153,21.209971006320032,1706,-20.71187500114133
15,1.5,0.7364200777719769,21.3969556402092,1706,-20.90004171733668
15,1.0,0.7353954753266916,21.449432785084014,1706,-20.95285061302537
15,1.75,0.7346490721994968,21.587698668831752,1705,-21.09199058814252
10,1.25,0.7343070832275035,18.243551641439556,1426,-17.70822445863055
10,1.0,0.7339526495167115,18.26764057687939,1426,-17.732471124282927
10,2.25,0.7328365497108523,18.424798598957604,1422,-17.91072032641875
15,2.25,0.7324752363929508,21.814807426708136,1701,-21.32053508562259
30,1.25,0.7304438139105909,33.12959579437058,2872,-33.00352824313429
10,1.5,0.730370711679644,18.548826889562616,1426,-18.01549859665002
10,1.75,0.7300342297780772,18.59680435266849,1425,-18.063790207944454
30,1.0,0.7290826821886955,33.263592008172246,2873,-33.137777073542516
15,2.0,0.7289815279233991,22.081307905998944,1703,-21.588720331701964
30,1.5,0.7287104955593228,33.333761506632364,2872,-33.2080788591765
30,1.75,0.7284694606430762,33.38753231549706,2867,-33.26195103955643
30,2.25,0.7282250805524547,33.441370747437084,2848,-33.315890970499055
10,2.0,0.7280447978228265,18.755230041097093,1424,-18.24323411248219
15,2.5,0.7251377342301369,22.50501042471484,1694,-22.01510141945405
10,2.5,0.7243392691349527,19.177239114015606,1417,-18.609723076484226
30,2.0,0.7236292207933192,34.024713604202915,2861,-33.900333575447064
30,2.5,0.7213106843338223,34.20947543466785,2828,-34.085443728488606
25,1.25,0.7170847212658147,30.762299393639132,2475,-30.52082749216849
25,1.0,0.7152559668604015,30.925013481871233,2475,-30.68410905852179
25,1.5,0.7152407111197894,30.964356297900615,2475,-30.72358908570293
25,1.75,0.7136986691831966,31.174978915206285,2474,-30.93494626587587
25,2.25,0.7134506711207411,31.196162279020577,2461,-30.97307328254484
20,1.25,0.7112718566554435,27.0679344674113,2067,-26.672019806128954
20,2.25,0.7094693835943703,27.31913393172732,2058,-26.924582916875224
20,1.5,0.7089141536235012,27.309203407025777,2067,-26.914598483919228
20,1.0,0.7085773339267325,27.303522216066963,2067,-26.90888645238603
25,2.0,0.708218484185008,31.81212119291967,2471,-31.59102937655076
25,2.5,0.7081689861680674,31.882411081649188,2445,-31.592541491518833
20,1.75,0.7070647708137047,27.540269542233958,2066,-27.146918970968414
20,2.0,0.7031602741706537,27.921716421724003,2064,-27.530436550239113
20,2.5,0.7014726794536464,28.152722244223455,2050,-27.762696397168778
