Spread_pips,Cost_USD/trade,PF,DD%,NetPnL,NetReturn%,NTrades,WR%
0.0,0.0,1.23,18.9,137611.0,917.4,4680,54.5
0.5,2.5,1.21,20.8,125911.0,839.4,4680,54.5
1.0,5.0,1.19,23.1,114211.0,761.4,4680,54.5
1.5,7.5,1.17,25.8,102511.0,683.4,4680,54.5
2.0,10.0,1.15,29.0,90811.0,605.4,4680,54.5
3.0,15.0,1.11,54.4,67411.0,449.4,4680,54.5
5.0,25.0,1.03,130.6,20611.0,137.4,4680,54.5
