EMA_Fast,SMA_Slow,SL_ATR_Mult,RR,PF_IS,PF_OOS,WF_ratio,DD_IS%,DD_OOS%,NetReturn_IS%,NetReturn_OOS%,Trades_IS,Trades_OOS,pasa_WF,pasa_DD,pasa_trades,pasa_OOS_pos,pasa_DD_real,VALIDADO
8,21,1.0,2.0,1.056,1.002,0.949,40.1,26.0,111.7,0.8,3211,1154,True,True,True,True,False,False
8,21,1.0,3.0,1.165,1.114,0.956,25.1,25.2,440.6,49.5,3200,1153,True,True,True,True,False,False
8,21,1.5,1.5,0.979,0.893,0.912,44.2,38.5,-27.6,-33.4,3053,1116,True,True,True,False,False,False
8,21,1.5,2.0,1.051,0.939,0.893,36.4,30.0,86.1,-19.8,3045,1114,True,True,True,False,False,False
8,21,1.5,3.0,1.109,1.003,0.904,24.8,18.9,235.1,1.0,3037,1111,True,True,True,True,False,False
8,34,0.5,1.5,0.97,0.931,0.96,43.5,25.6,-29.1,-19.5,2291,836,True,True,True,False,False,False
8,34,0.5,2.0,1.109,1.084,0.977,18.9,15.4,141.0,27.2,2290,832,True,True,True,True,False,False
8,34,0.5,3.0,1.235,1.275,1.032,10.8,15.7,359.2,102.2,2287,831,True,True,True,True,False,False
8,34,1.0,1.5,0.923,0.933,1.011,69.7,23.9,-64.4,-17.6,2256,818,True,True,True,False,False,False
8,34,1.0,2.0,1.039,0.994,0.957,35.2,18.1,44.1,-1.8,2252,817,True,True,True,False,False,False
8,34,1.0,3.0,1.151,1.032,0.897,24.3,16.5,238.5,9.3,2243,814,True,True,True,True,False,False
8,34,1.5,1.5,0.991,0.864,0.872,48.5,32.3,-7.8,-29.4,2173,798,True,True,True,False,False,False
8,34,1.5,2.0,1.057,0.87,0.823,40.4,32.1,59.3,-28.1,2167,795,False,True,True,False,False,False
8,34,1.5,3.0,1.097,0.914,0.833,32.4,25.3,114.5,-19.2,2164,795,False,True,True,False,False,False
8,55,0.5,1.5,0.884,1.115,1.261,76.0,12.4,-72.3,26.1,1637,617,True,True,True,True,True,True
8,55,0.5,2.0,1.05,1.231,1.172,28.8,9.7,43.5,58.8,1637,616,True,True,True,True,True,True
8,55,0.5,3.0,1.254,1.326,1.057,14.4,8.5,280.4,93.5,1632,616,True,True,True,True,True,True
8,55,1.0,1.5,0.865,0.92,1.064,77.9,26.0,-76.7,-16.1,1617,608,True,True,True,False,False,False
8,55,1.0,2.0,0.953,0.999,1.048,47.0,19.1,-32.2,-0.1,1616,608,True,True,True,False,False,False
8,55,1.0,3.0,1.024,1.042,1.018,38.2,16.1,18.8,9.3,1614,607,True,True,True,True,False,False
8,55,1.5,1.5,0.866,0.963,1.112,67.9,20.0,-66.1,-6.3,1568,592,True,True,True,False,False,False
8,55,1.5,2.0,0.91,0.997,1.096,56.3,17.5,-47.5,-0.6,1565,592,True,True,True,False,False,False
8,55,1.5,3.0,0.965,1.069,1.108,46.2,15.0,-20.9,12.6,1564,591,True,True,True,True,True,True
